	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc13	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc9	515rcbc30	515rcbc28	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_3409_7.txt	3409	7	2155.90853659	1326.22155689	1712.35483871	1590.16167665	1818.98823529	1740.55434783	1728.0617284	1381.31756757	1613.07594937	1956.23809524	1944.24489796	1805.93442623	1859.1025641	1796.14814815	1854.19767442	1542.8852459	1848.65909091	1594.03424658	1896.75138122	1929.09708738	1719.67708333	1874.95918367	1746.77595628	1957.98305085	1702.5	2076.87704918	1804.56994819	1426.82467532	1648.97580645
alpha_rarefaction_3409_8.txt	3409	8	1709.82142857	1594.13548387	1719.01796407	1616.53797468	1807.73529412	1800.43455497	1695.16766467	1624.83916084	1845.56097561	1940.24725275	1815.60479042	1635.92857143	1394.53107345	1759.56060606	1615.16489362	1528.60571429	1942.47305389	1688.35483871	1851.5	1802.62666667	1644.12182741	1830.94303797	1742.01796407	1967.84269663	1649.875	1773.92727273	1891.0199005	1424.65088757	1530.62043796
alpha_rarefaction_3409_9.txt	3409	9	1961.23809524	1585.91911765	1752.57142857	1386.42011834	1818.02298851	1968.33707865	1694.86363636	1481.41509434	1646.78571429	1839.08287293	1844.09659091	1770.01754386	1619.04081633	1943.77094972	1930.22360248	1452.38596491	1895.57714286	1584.55555556	1796.90954774	2004.66350711	1821.4	1860.85135135	1796.32926829	1649.51351351	1645.56382979	1790.09375	1920.15217391	1554.58227848	1512.91911765
alpha_rarefaction_6808_0.txt	6808	0	2391.57480315	1819.91943128	2143.4063745	2053.84688995	2247.58333333	2350.42105263	1933.98076923	1990.61458333	1900.94067797	2407.34686347	2273.48401826	2229.42666667	2180.99528302	2215.2519084	2163.22321429	1978.88209607	2378.16593886	2023.33802817	2265.33695652	2351.22535211	2243.82608696	2300.70386266	2146.06578947	2532.69067797	1999.95081967	2072.25550661	2298.06614786	1839.16062176	1968.07692308
alpha_rarefaction_6808_1.txt	6808	1	2443.31196581	1960.66513761	2231.42307692	2032.0	2128.37974684	2267.31983806	2086.1	2166.32335329	2266.48130841	2436.48854962	2241.24267782	2142.26829268	2200.07246377	2219.70037453	2185.44117647	1944.58951965	2268.34599156	2049.33802817	2231.60852713	2630.0984252	2156.50980392	2287.05309735	2238.20600858	2466.53688525	2014.89958159	2247.06603774	2099.8	1941.18324607	1892.10714286
alpha_rarefaction_6808_2.txt	6808	2	2403.2	1965.11386139	2372.49763033	2195.10526316	2417.15566038	2378.91304348	2232.0	1965.8972973	2202.56223176	2539.27615063	2174.61382114	2294.57142857	2251.16666667	2295.01219512	2276.79411765	2074.44711538	2414.14150943	2124.83333333	2155.16487455	2552.58181818	2090.34408602	2269.44827586	2149.36290323	2429.51948052	2139.09589041	2099.75	2143.29209622	1959.94029851	1840.85915493
alpha_rarefaction_6808_3.txt	6808	3	2513.09767442	1846.88785047	2062.38846154	2180.34196891	2420.18779343	2140.19491525	2121.44394619	1845.82142857	2070.02521008	2440.74509804	2220.23849372	2349.20779221	2171.30396476	2366.03703704	2189.4254386	1952.07009346	2314.12765957	1922.38207547	2367.23843416	2466.53068592	2262.07692308	2353.06849315	2138.48101266	2541.50996016	2045.625	2272.37962963	2349.90836653	2138.24309392	2076.09944751
alpha_rarefaction_6808_4.txt	6808	4	2644.54166667	1998.20512821	2500.53080569	2314.52061856	2270.53968254	2382.67588933	2229.64285714	1897.96059113	2014.76419214	2390.96551724	2091.61570248	2202.9790795	2017.06849315	2204.584	2200.92430279	1893.10606061	2280.45454545	2082.2974359	2249.5	2449.0	2167.77380952	2283.91631799	2239.98591549	2208.86842105	2201.24770642	2153.85897436	2284.62641509	2008.24757282	1973.17040359
alpha_rarefaction_6808_5.txt	6808	5	2322.27667984	1868.39393939	2324.54794521	2089.73611111	2128.52966102	2244.61065574	2025.75	1824.01442308	2256.50490196	2567.69506726	2218.41704036	2232.3253012	2128.82692308	2410.25	2324.21551724	1849.0472103	2405.2625	1856.04347826	2373.27099237	2377.40925267	2272.99606299	2211.04115226	2241.38793103	2243.79770992	2217.09333333	2207.78414097	2382.344	1940.0	1966.79274611
alpha_rarefaction_6808_6.txt	6808	6	2573.9380531	2122.09467456	2249.11587983	2227.68584071	2253.2007722	2211.30416667	2084.37674419	1830.18181818	2024.21848739	2520.02575107	2225.1627907	2357.14479638	2109.578125	2378.958159	2045.66521739	1877.3125	2483.84761905	2067.89908257	2277.03816794	2409.98943662	2053.11067194	2277.56	2283.26431718	2312.95330739	1993.06329114	2012.01298701	2244.26153846	2197.67241379	1953.50543478
alpha_rarefaction_6808_7.txt	6808	7	2332.17154812	1805.33009709	2207.88841202	2059.73658537	2243.06048387	2252.0	2070.88412017	1859.45049505	1988.06896552	2570.75954198	2233.04048583	2305.5787234	2080.38834951	2417.74688797	2236.46938776	1875.60352423	2282.94491525	2044.93846154	2230.02222222	2479.95955882	2299.25104603	2355.63255814	2234.22457627	2416.12977099	2054.94736842	2094.86343612	2146.86813187	1923.00505051	2012.60301508
alpha_rarefaction_6808_8.txt	6808	8	2430.0	1705.74672489	2289.84120172	2078.20833333	2136.41796875	2346.26506024	2090.45945946	1893.55721393	1988.97991968	2464.484375	2368.02739726	2203.5204918	2153.73205742	2356.96202532	2187.27272727	2009.5631068	2400.13270142	1997.66363636	2242.52851711	2439.88448845	2279.67073171	2277.35585586	2128.4254386	2444.98832685	2109.27947598	2249.51485149	2120.88652482	1760.88235294	1994.0052356
alpha_rarefaction_6808_9.txt	6808	9	2301.34552846	1754.81192661	2299.00478469	2297.89949749	2186.07949791	2185.75581395	2023.22966507	1928.11386139	2246.2173913	2528.5	2160.65560166	2198.0	2037.44545455	2346.01176471	2336.70292887	1892.83783784	2245.71984436	2085.01515152	2353.89090909	2390.75	2143.312	2273.04329004	2141.39534884	2663.34322034	2088.67699115	2139.89754098	2282.38432836	1897.59459459	2079.68108108
